Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Year
1,GB,9,2015,26,F,false,JMC,JUNE,2019,Lecture 9
1,GB,9,2015,26,F,false,FSMC,NOVEMBER,2021,Lecture 9
1,GB,9,2015,26,F,false,PYC,JANUARY,2023,Lecture 2
1,GB,9,2015,26,F,false,JPMC,FEBRUARY,2024,Lecture 11
2,AU,5,2022,53,U,false,JMC,JUNE,2023,Lecture 6
2,AU,5,2022,53,U,false,FSMC,JUNE,2024,Lecture 9
2,AU,5,2022,53,U,false,PYC,NOVEMBER,2022,Lecture 6
2,AU,5,2022,53,U,false,JPMC,MAY,2023,Lecture 1
3,US,4,2017,47,F,false,JMC,MAY,2021,Lecture 9
3,US,4,2017,47,F,false,FSMC,FEBRUARY,2018,Lecture 8
3,US,4,2017,47,F,false,PYC,MAY,2022,Lecture 10
3,US,4,2017,47,F,false,JPMC,OCTOBER,2021,Lecture 1
4,CN,7,2018,76,F,false,JMC,MARCH,2024,Lecture 1
4,CN,7,2018,76,F,false,FSMC,NOVEMBER,2020,Lecture 7
4,CN,7,2018,76,F,false,PYC,JANUARY,2024,Lecture 4
4,CN,7,2018,76,F,false,JPMC,FEBRUARY,2023,Lecture 5
5,GB,4,2015,51,M,true,JMC,MARCH,2017,Lecture 7
5,GB,4,2015,51,M,true,FSMC,APRIL,2021,Lecture 14
5,GB,4,2015,51,M,true,PYC,MARCH,2022,Lecture 9
5,GB,4,2015,51,M,true,JPMC,SEPTEMBER,2024,Lecture 2
